"back_camera","battery","display","name","price","ram"
"144","4832","6.9","AppleIphone17ProMax","527,999","12"
"48","3149","6.5","AppleIphone17Air","414,999","8"
"144","3988","6.3","AppleIphone17Pro","497,999","12"
"60","3561","6.1","AppleiPhone16","308,999","8"
"108","4676","6.9","AppleiPhone16ProMax","521,999","8"
"60","3349","6.1","AppleiPhone15","266,499","6"
"24","327912.68","6.1","AppleiPhone14","183,999","6"
"96","3692","6.3","AppleIphone17","387,999","8"
"48","4005","6.1","AppleiPhone16e","254,999","8"
"60M","4600","6.7","AppleiPhone16Plus","327,999","8"
"108","3577","6.3","AppleiPhone16Pro","366,999","8"
"108","4422","6.7","AppleiPhone15ProMax","392,000","8"
"24","3240","6.1","AppleiPhone13","167,499","4"
"144","4832","6.9","AppleIphone17ProMax","527999","12"
"48","3149","6.5","AppleIphone17Air","414999","8"
"144","3988","6.3","AppleIphone17Pro","497999","12"
"60","3561","6.1","AppleiPhone16","308999","8"
"108","4676","6.9","AppleiPhone16ProMax","521999","8"
"60","3349","6.1","AppleiPhone15","266499","6"
"24","3279","6.1","AppleiPhone14","183999","6"
"96","3692","6.3","AppleIphone17","387999","8"
"48","4005","6.1","AppleiPhone16e","254999","8"
"60","4600","6.7","AppleiPhone16Plus","327999","8"
"108","3577","6.3","AppleiPhone16Pro","366999","8"
"108","4422","6.7","AppleiPhone15ProMax","392000","8"
"24","3240","6.1","AppleiPhone13","167499","4"
"48","2815","5.4","AppleIphone12Mini","154999","4"
"60","2815","6.1","AppleIphone12","174999","4"
"108","2815","6.1","AppleIphone12Pro","214999","6"
"108","3687","6.7","AppleIphone12ProMax","234999","6"
"48","3110","6.1","AppleIphone11","149999","4"
"108","3046","5.8","AppleIphone11Pro","199999","4"
"108","3969","6.5","AppleIphone11ProMax","219999","4"
"48","2716","5.8","AppleIphoneX","164999","3"
"108","2716","5.8","AppleIphoneX256GB","184999","3"
"48","2658","5.8","AppleIphoneXS","219999","4"
"108","3174","6.5","AppleIphoneXSMax","249999","4"
"48","2942","6.1","AppleIphoneXR","149999","3"
"48","7608","10.9","AppleiPadAir64GB","79999","4"
"48","7618","10.9","AppleiPadAir256GB","89999","4"
"48","8612","10.2","AppleiPad32GB","49999","3"
"48","8612","10.2","AppleiPad128GB","59999","3"
"48","5124","7.9","AppleiPadMini64GB","69999","3"
"48","5124","7.9","AppleiPadMini256GB","79999","3"
"108","7812","11","AppleiPadPro11_128GB","149999","4"
"108","7812","11","AppleiPadPro11_256GB","169999","4"
"108","7812","11","AppleiPadPro11_512GB","189999","6"
"108","9720","12.9","AppleiPadPro12_128GB","219999","6"
"108","9720","12.9","AppleiPadPro12_256GB","239999","6"
"108","9720","12.9","AppleiPadPro12_512GB","259999","6"
"108","10307","13","AppleiPadPro13_128GB","259999","6"
"108","10307","13","AppleiPadPro13_256GB","279999","6"
"108","10307","13","AppleiPadPro13_512GB","309999","6"
"108","10307","13","AppleiPadPro13_1TB","359999","6"
"108","10307","13","AppleiPadPro13_2TB","399999","6"
"310","5000","6.9","SamsungGalaxyS26Ultra","489,999","12"
"50","4900","6.7","SamsungGalaxyS26Plus","364,999","12"
"72","4300","6.3","SamsungGalaxyS26","299,999","12"
"57","5000","6.7","SamsungGalaxyA17","51,500","6/8"
"67","5000","6.7","SamsungGalaxyA565G","113,999","8"
"70","4900","6.7","SamsungGalaxyS25FE","179,999","8"
"52","5000","6.7","SamsungGalaxyA07","25,700","4/6"
"63","5000","6.7","SamsungGalaxyA365G","99,699","8"
"60","5000","6.7","SamsungGalaxyA265G","71,999","8"
"310","5000","6.9","SamsungGalaxyS25Ultra","352,999","12"
"72","4000","6.2","SamsungGalaxyS25","259,999","12"
"70","4700","6.7","SamsungGalaxyS24FE","166,999","8"
"72","4400","7.6","SamsungGalaxyZFold5","325,999","12"
"62","4000","6.7","SamsungGalaxyZFlip6","304,999","12"
"72","4400","7.6","SamsungGalaxyZFold6","485,999","12"
"262","5000","6.8","SamsungGalaxyS24Ultra(12-1TB)","335,999","12"
"63","5000","6.6","SamsungGalaxyA355G","83,999","8"
"67","5000","6.6","SamsungGalaxyA555G","94,500","8"
"272","5000","6.8","SamsungGalaxyS24Ultra","316,999","12"
"72","4000","6.2","SamsungGalaxyS24","208,999","8"
"60","5000","6.5","SamsungGalaxyA25","59,999","8"
"70","4500","6.4","SamsungGalaxyS23FE","119,499","8"
"24","3700","6.7","SamsungGalaxyZFlip5","224,999","8"
"67","5000","6.4","SamsungGalaxyA545G","79,500","8"
"232","5000","6.8","SamsungGalaxyS23Ultra","269,999","12"
"24","3700","6.7","SamsungGalaxyZFlip4","184,999","8"
"72","3700","6.1","SamsungGalaxyS22","170,999","8"
"30","4500","6.4","SamsungGalaxyS21FE","99,999","6"
"310","5000","6.9","SamsungGalaxyS25Ultra(12-256)","339,999","12"
"52","5000","6.7","SamsungGalaxyA06","22,499","4"
"272","5000","6.8","SamsungGalaxyS24Ultra(12-256)","314,999","12"
"61","5000","6.6","SamsungGalaxyA34","68,199","6"
"130","5000","6.7","SamsungGalaxyA73","91,999","8"
"50","4400","7.6","Samsung,GalaxyZFold6256","485,999","12"
"50","4400","7.6","Samsung,GalaxyZFold6512","485,999","12"
"50","4400","7.6","Samsung,GalaxyZFold61TB","485,999","12"
"310","5000","6.9","SamsungGalaxyS26Ultra","489,999","12"
"50","4900","6.7","SamsungGalaxyS26Plus","364,999","12"
"72","4300","6.3","SamsungGalaxyS26","299,999","12"
"57","5000","6.7","SamsungGalaxyA17","51,500","6/8"
"67","5000","6.7","SamsungGalaxyA565G","113,999","8"
"70","4900","6.7","SamsungGalaxyS25FE","179,999","8"
"52","5000","6.7","SamsungGalaxyA07","25,700","4/6"
"63","5000","6.7","SamsungGalaxyA365G","99,699","8"
"60","5000","6.7","SamsungGalaxyA265G","71,999","8"
"310","5000","6.9","SamsungGalaxyS25Ultra","352,999","12"
"72","4000","6.2","SamsungGalaxyS25","259,999","12"
"70","4700","6.7","SamsungGalaxyS24FE","166,999","8"
"72","4400","7.6","SamsungGalaxyZFold5","325,999","12"
"62","4000","6.7","SamsungGalaxyZFlip6","304,999","12"
"72","4400","7.6","SamsungGalaxyZFold6","485,999","12"
"262","5000","6.8","SamsungGalaxyS24Ultra(12-1TB)","335,999","12"
"63","5000","6.6","SamsungGalaxyA355G","83,999","8"
"67","5000","6.6","SamsungGalaxyA555G","94,500","8"
"272","5000","6.8","SamsungGalaxyS24Ultra","316,999","12"
"72","4000","6.2","SamsungGalaxyS24","208,999","8"
"60","5000","6.5","SamsungGalaxyA25","59,999","8"
"70","4500","6.4","SamsungGalaxyS23FE","119,499","8"
"24","3700","6.7","SamsungGalaxyZFlip5","224,999","8"
"67","5000","6.4","SamsungGalaxyA545G","79,500","8"
"232","5000","6.8","SamsungGalaxyS23Ultra","269,999","12"
"24","3700","6.7","SamsungGalaxyZFlip4","184,999","8"
"72","3700","6.1","SamsungGalaxyS22","170,999","8"
"30","4500","6.4","SamsungGalaxyS21FE","99,999","6"
"310","5000","6.9","SamsungGalaxyS25Ultra(12-256)","339,999","12"
"52","5000","6.7","SamsungGalaxyA06","22,499","4"
"272","5000","6.8","SamsungGalaxyS24Ultra(12-256)","314,999","12"
"61","5000","6.6","SamsungGalaxyA34","68,199","6"
"130","5000","6.7","SamsungGalaxyA73","91,999","8"
"50","4400","7.6","SamsungGalaxyZFold6256","485,999","12"
"50","4400","7.6","SamsungGalaxyZFold6512","485,999","12"
"50","4400","7.6","SamsungGalaxyZFold61TB","485,999","12"
"200","5000","6.8","SamsungGalaxyS24Ultra128GB","450,000","12"
"200","5000","6.8","SamsungGalaxyS24Ultra256GB","480,000","12"
"50","4800","6.6","SamsungGalaxyS24+128GB","400,000","8"
"50","4800","6.6","SamsungGalaxyS24+256GB","430,000","8"
"50","4000","6.1","SamsungGalaxyS24 128GB","350,000","8"
"50","4000","6.1","SamsungGalaxyS24 256GB","380,000","8"
