"back_camera","battery","display","name","price","ram"
"144","4832","6.9","AppleIphone17ProMax","527,999","12"
"48","3149","6.5","AppleIphone17Air","414,999","8"
"144","3988","6.3","AppleIphone17Pro","497,999","12"
"60","3561","6.1","AppleiPhone16","308,999","8"
"108","4676","6.9","AppleiPhone16ProMax","521,999","8"
"60","3349","6.1","AppleiPhone15","266,499","6"
"24","327912.68","6.1","AppleiPhone14","183,999","6"
"96","3692","6.3","AppleIphone17","387,999","8"
"48","4005","6.1","AppleiPhone16e","254,999","8"
"60M","4600","6.7","AppleiPhone16Plus","327,999","8"
"108","3577","6.3","AppleiPhone16Pro","366,999","8"
"108","4422","6.7","AppleiPhone15ProMax","392,000","8"
"24","3240","6.1","AppleiPhone13","167,499","4"
"back_camera","battery","display","name","price","ram"
"310","5000","6.9","SamsungGalaxyS26Ultra","489,999","12"
"50","4900","6.7","SamsungGalaxyS26Plus","364,999","12"
"72","4300","6.3","SamsungGalaxyS26","299,999","12"
"57","5000","6.7","SamsungGalaxyA17","51,500","6/8"
"67","5000","6.7","SamsungGalaxyA565G","113,999","8"
"70","4900","6.7","SamsungGalaxyS25FE","179,999","8"
"52","5000","6.7","SamsungGalaxyA07","25,700","4/6"
"63","5000","6.7","SamsungGalaxyA365G","99,699","8"
"60","5000","6.7","SamsungGalaxyA265G","71,999","8"
"310","5000","6.9","SamsungGalaxyS25Ultra","352,999","12"
"72","4000","6.2","SamsungGalaxyS25","259,999","12"
"70","4700","6.7","SamsungGalaxyS24FE","166,999","8"
"72","4400","7.6","SamsungGalaxyZFold5","325,999","12"
"62","4000","6.7","SamsungGalaxyZFlip6","304,999","12"
"72","4400","7.6","SamsungGalaxyZFold6","485,999","12"
"262","5000","6.8","SamsungGalaxyS24Ultra(12-1TB)","335,999","12"
"63","5000","6.6","SamsungGalaxyA355G","83,999","8"
"67","5000","6.6","SamsungGalaxyA555G","94,500","8"
"272","5000","6.8","SamsungGalaxyS24Ultra","316,999","12"
"72","4000","6.2","SamsungGalaxyS24","208,999","8"
"60","5000","6.5","SamsungGalaxyA25","59,999","8"
"70","4500","6.4","SamsungGalaxyS23FE","119,499","8"
"24","3700","6.7","SamsungGalaxyZFlip5","224,999","8"
"67","5000","6.4","SamsungGalaxyA545G","79,500","8"
"232","5000","6.8","SamsungGalaxyS23Ultra","269,999","12"
"24","3700","6.7","SamsungGalaxyZFlip4","184,999","8"
"72","3700","6.1","SamsungGalaxyS22","170,999","8"
"30","4500","6.4","SamsungGalaxyS21FE","99,999","6"
"310","5000","6.9","SamsungGalaxyS25Ultra(12-256)","339,999","12"
"52","5000","6.7","SamsungGalaxyA06","22,499","4"
"272","5000","6.8","SamsungGalaxyS24Ultra(12-256)","314,999","12"
"61","5000","6.6","SamsungGalaxyA34","68,199","6"
"130","5000","6.7","SamsungGalaxyA73","91,999","8"
"50","4400","7.6","Samsung,GalaxyZFold6256","485,999","12"
"50","4400","7.6","Samsung,GalaxyZFold6512","485,999","12"
"50","4400","7.6","Samsung,GalaxyZFold61TB","485,999","12"
"back_camera","battery","display","name","price","ram"
"58","5200","6.78","TecnoCamon40Pro","64,999","16"
"13","5000","6.75","TecnoSparkGo3","25,300","4"
"50","5200","6.6","Tecnospark40","37,600","6"
"50","5200","6.78","TecnoSpark40ProPlus","60,400","88"
"50","5200","6.78","TecnoSpark40pro","50,700","88"
"13","6000","6.67","TecnoSpark40C","29,799","4"
"13","5000","6.67","TecnoSparkGo2","25,799","4"
"108","5000","6.78","TecnoSPARK30Pro","46,999","8"
"110","5000","6.78","TecnoSpark20ProPlus","59,999","16"
"52","7000","6.78","TecnoPova6Neo","45,999","16"
"52","5000","6.78","TecnoCamon30","49,999","24"
"back_camera","battery","display","name","price","ram"
"50","6500","6.59","VivoV70","153,999","12"
"50","6500","6.74","VivoY11d","39,599","4"
"8","6500,"6.74","VivoY05","30,999","8"
"50","6510","6.78","VivoX300Pro","314,999","16"
"50","6210","6.77","VIVOV60Lite","72,999","8"
"50","6500","6.77","VIVOV60Lite5G","88,999","12"
"50","6500","6.68","VivoY21d","45,999","6"
"50","6500","6.77","VivoV60","134,999","12"
"52","6000","6.67","VivoY400","62,499","8"
"150","6000","6.53","VivoXFold5","419,999","16"
"108","6500","6.31","VivoX200FE","194,999","12"
"52","6500","6.68","VivoY29","54,299","8"
"13","5500","6.74","VivoY04","32,999","4"
"58","6500","6.77","VivoV50Lite5G","82,999","12"
"100","6000","6.77","VivoV50","124,999","12"
"300","6000","6.78","VivoX200Pro","278,499","16"
"52","5000","6.67","VivoY2004G","52,499","8"
"back_camera","battery","display","name","price","ram"
"50","6330","6.3","Xiaomi17","319,999","12"
"50","6000","6.9","Xiaomi17Ultra","479,999","16"
"50","6000","6.9","XiaomiPocoC85","42,199","8"
"50","7000","6.9InchDisplay","XiaomiRedmi15","42,999","8"
"50","6000","6.9","XiaomiRedmi15C","31,499","4"
"32M","5200","6.88","XiaomiRedmiA5","24,499","4"
"350","5410","6.73","Xiaomi15Ultra","372,999","16"
"210","5500","6.67","XiaomiRedmiNote14Pro","69,999","8"
"112","5500","6.7","XiaomiRedmiNote14","48,999","8"
"50","5160","6.88","XiaomiPocoC75","36,999","8"
"52","5160","6.88","XiaomiRedmi14C","31,999","4"
"110","5030","6.79","XiaomiRedmi13","37,999","8"
"118","5000","6.67","XiaomiRedmiNote13","49,999","6"
"150","4610","6.3","Xiaomi14","302,999","12"
"60","5000","6.67","XiaomiRedmiNote12","41,999","8"
"50","5500","6.83","Xiaomi15T","169,999","12"
"112","5500","6.83","Xiaomi15TPro","234,999","12"
"210","5110","6.7","XiaomiRedmiNote14ProPlus","125,999","12"
"58","6000","6.67","XiaomiPocoX7pro","137,999","12"
"58","5000","6.67","PocoF6","131,999","12"
"60","5000","6.67","PocoF6Pro","169,999","12"
"8","5000","6.71","XiaomiRedmiA3x","19,899","3"
"8","5000","6.71","XiaomiRedmiA3","21,999","4"
"210","5000","6.67","XiaomiRedmiNote13ProPlus","126,499","8"
"74","5000","6.67","PocoX6Pro5G","122,099","12"
"74","5000","6.67","PocoM6Pro","83,999","12"
"52","5000","6.74","XiaomiRedmi13C","29,499","6"
"60","5000","6.79","XiaomiRedmi12","33,499","8"
"8","5000","6.52","XiaomiRedmiA2Plus","19,999","3"
"50","5000","6.71","XiaomiRedmi12C","22,999","4"
"back_camera","battery","display","name","price","ram"
"50","7000","6.8","RealmeC85Pro","52,999","8"
"50","7000","6.8","RealmeC85","47,999","8"
"50","7000","6.57","Realme15T5G","78,999","8"
"50","7000","6.8","Realme15pro","141,499","12"
"13","6300","6.74","RealmeNote70","31,199","4"
"58","7000","6.8","RealmeGT7T","164,999","12"
"52","6000","6.67","Realme14T5G","67,999","12"
"52","6000","6.67","Realme145G","85,499","12"
"50","6300","6.72","RealmeC71","36,499","6"
"50","5600","6.67","RealmeC75x","37,999","6"
"8","5000","6.74","RealmeNote60x","20,999","4"
"54","5000","6.5","RealmeC25Y","23,499","4"
"58","7000","6.77","Realme155G","105,499","12"
"50","6000","6.72","RealmeC75","38,499","8"
"50","5000","6.67","Realme135G","75,999","12"
"32","5000","6.74","RealmeNote60","21,999","4
"60","5000","6.7","Realme125G","66,499","16"
"8MP","5000","6.5","RealmeC112021","18,299","4"
"back_camera","battery","display","name","price","ram"
"52","7000","6.75","OppoA6","55,699","8"
"50","7000","6.75","OppoA6s","68,499","8"
"50","6500","6.59","OPPOReno15","159,999","12"
"50","6500","6.59","OppoReno15F","114,299","8"
"200","6200","6.32","OppoReno15Pro","229,999","12"
"13","6500","6.75","OppoA6X","29,299","6"
"50","7000","6.57","OppoA6Pro","83,499","8"
"8","5100","6.67","OppoA5i","27,999","4"
"50","5800","6.83","OppoReno13Pro","146,499","12"
"60","5600","6.59","OppoReno13","118,499","12"
"60","5000","6.67","OppoReno12F5G","69,999","12"
"50","6500","6.75","OppoA6K","48,200","4"
"52","6000","6.67","OppoA5","39,799","6"
