"back_camera","battery","display","name","price","ram"
"50 MP","5160 mAh","6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio)","Infinix Hot 60 Pro Plus","Rs 59,999","8GB RAM"
"50 MP","5160 mAh","6.8 Inches","Infinix Hot 60 Pro","Rs 47,999","8GB"
"50MP","5160 mAh","6.7 Inches","Infinix Hot 60i","Rs 36,999","6GB / 8GB"
"8 MP","6000 mAh","6.67 Inches","Infinix Smart 10 Plus","Rs 28,449","4GB"
"8MP","5000 mAh","6.67 inches","Infinix Smart 10","Rs 25,399","4GB + 4GB EXTENDABLE"
"50MP OIS+8MP","5200 mAh","6.78 INCHES","Infinix Note 50 Pro","Rs 79,999","12GB RAM + 12GB EXPANDABLE RAM"
"50 MP OIS + 2 MP","5200 mAh","6.78 Inches","Infinix Note 50","Rs 65,999","8GB RAM + 8GB RAM EXPANDABLE"
"108 MP + 50MP + 2 MP","5000 mAh","6.78 Inches","Infinix Zero 40 4G","Rs 59,999","8GB + 8GB EXTENDED RAM"
"13 MP","5000 mAh","6.6 Inches","Infinix Smart 10 HD","Rs 21,549","2GB"
"50 MP + 2MP","5000 mAh","6.78 inches","Infinix Hot 50 Pro Plus","Rs 54,500","8GB+ 8GB EXTENDED RAM"
