"back_camera","battery","display","name","price","ram"
"50 MP + 2 MP","7000 mAh","6.75","Oppo A6","Rs 55,699","8GB"
"50MP","7000 mAh","6.75 inches","Oppo A6s","Rs 68,499","8GB"
"50MP","6500 mAh","6.59 inches","OPPO Reno 15","Rs 159,999","12GB"
"50MP","6500 mAh","6.59 inches","Oppo Reno 15F","Rs 114,299","8GB"
"200MP","6200 mAh","6.32 inches","Oppo Reno 15 Pro","Rs 229,999","12GB"
"13MP","6500 mAh","6.75 inches","Oppo A6X","Rs 29,299","6 GB"
"50 MP","7000 mAh","6.57 inches","Oppo A6 Pro","Rs 83,499","8GB RAM"
"8 MP + AI","5100 mAh","6.67","Oppo A5i","Rs 27,999","4GB"
"Wide angle 50 MP + Ultra-wide angle 8MP + Telephoto 50 MP","5800 mAh","6.83 inches","Oppo Reno 13 Pro","Rs 146,499","12GB LPDDR5X"
"50 MP + 8 MP + 2 MP","5600 mAh","6.59 Inches","Oppo Reno 13","Rs 118,499","12 GB LPDDR5X"
"50 MP + 8MP + 2MP","5000 mAh","6.67 inches","Oppo Reno 12F 5G","Rs 69,999","12GB"
"50MP","6500 mAh","6.75 inches","Oppo A6K","Rs 48,200","4/6/8GB"
"50 MP + 2 MP","6000 mAh","6.67 inches","Oppo A5","Rs 39,799","6 GB"
"50MP + 8MP + 2MP","6000 mAh","6.57 inches","Oppo Reno 14F 5G","Rs 94,999","8GB"
"32MP; f/1.8","6000 mAh","6.67","Oppo A5x","Rs 29,999","4GB"
"50 MP + 2 MP","5800 mAh","6.67","Oppo A5 Pro","Rs 50,499","8GB"
