"name","price"
"Realme C85 Pro","Rs 52,999"
"Realme C85","Rs 47,999"
"Realme 15T 5G","Rs 78,999"
"Realme 15 pro","Rs 141,499"
"Realme Note 70","Rs 31,199"
"Realme GT 7T","Rs 164,999"
"Realme 14T 5G","Rs 67,999"
"Realme 14 5G","Rs 85,499"
"Realme C71","Rs 36,499"
"Realme C75x","Rs 37,999"
"Realme Note 60x","Rs 20,999"
"Realme C25Y","Rs 23,499"
"Realme 15 5G","Rs 105,499"
"Realme C75","Rs 38,499"
"Realme 13+ 5G","Rs 75,999"
"Realme Note 60","Rs 21,999"
"Realme 12+ 5G","Rs 66,499"
"Realme C11 2021","Rs 18,299"
