"back_camera","battery","display","name","price","ram"
"200.0 MP + 50.0 MP + 50.0 MP + 10.0 MP","5000 mAh","6.9 inches","Samsung Galaxy S26 Ultra","Rs 489,999","12GB"
"50MP","4900 mAh","169.1mm","Samsung Galaxy S26 Plus","Rs 364,999","12GB"
"50.0 MP + 10.0 MP + 12.0 MP","4300 mAh","159.3mm (6.3","Samsung Galaxy S26","Rs 299,999","12GB"
"50 MP + 5 MP + 2 MP","5000 mAh","6.7 Inches","Samsung Galaxy A17","Rs 51,500","6GB / 8GB"
"50MP + 12MP + 5MP","5000 mAh","6.7 Inches","Samsung Galaxy A56 5G","Rs 113,999","8GB / 12GB RAM"
"50 MP + 8 MP + 12 MP","4900 mAh","6.7 inches","Samsung Galaxy S25 FE","Rs 179,999","8GB"
"50 MP + 2 MP","5000 mAh","6.7 Inches","Samsung Galaxy A07","Rs 25,700","4GB/6GB"
"50.0 MP + 8.0 MP + 5.0 MP","5000 mAh","6.7","Samsung Galaxy A36 5G","Rs 99,699","8 GB"
"50 MP + 8 MP + 2 MP","5000 mAh","6.7 inches","Samsung Galaxy A26 5G","Rs 71,999","8 GB"
"200.0 MP + 50.0 MP + 50.0 MP + 10.0 MP","5000 mAh","6.9 Inches","Samsung Galaxy S25 Ultra","Rs 352,999","12 GB"
"50MP + 10MP + 12MP","4000 mAh","6.2 Inches","Samsung Galaxy S25","Rs 259,999","12 GB"
"50 MP + 12MP + 8MP","4700 mAh","6.7 Inches","Samsung Galaxy S24 FE","Rs 166,999","8GB"
"12 MP + 50 MP + 10 MP","4400 mAh","7.6 inches","Samsung Galaxy Z Fold 5","Rs 325,999","12 GB"
"50 MP + 12 MP","4000 mAh","6.7 inches","Samsung Galaxy Z Flip 6","Rs 304,999","12GB"
"12 MP + 50 MP + 10 MP","4400 mAh","7.6 inches","Samsung Galaxy Z Fold 6","Rs 485,999","12 GB"
"200 MP + 50 MP + 12 MP + 10 MP","5000 mAh","6.8 Inches","Samsung Galaxy S24 Ultra (12GB-1TB)","Rs 335,999","12 GB"
"50 MP + 8 MP + 5 MP","5000 mAh","6.6 Inches","Samsung Galaxy A35 5G","Rs 83,999","8 GB"
"50 MP + 12 MP + 5 MP","5000 mAh","6.6 Inches","Samsung Galaxy A55 5G","Rs 94,500","8 GB"
"200 MP + 50 MP + 12 MP + 10 MP","5000 mAh","6.8 Inches","Samsung Galaxy S24 Ultra","Rs 316,999","12 GB"
"50 MP + 10 MP + 12 MP","4000 mAh","6.2 Inches","Samsung Galaxy S24","Rs 208,999","8 GB"
"50 MP + 8 MP + 2 MP","5000 mAh","6.5 Inches","Samsung Galaxy A25","Rs 59,999","8 GB"
"50 MP + 8 MP + 12 MP","4500 mAh","6.4 inches","Samsung Galaxy S23 FE","Rs 119,499","8 GB"
"12 MP + 12 MP","3700 mAh","6.7 inches","Samsung Galaxy Z Flip 5","Rs 224,999","8 GB"
"12MP + 50MP + 5MP","5000 mAh","6.4 inches","Samsung Galaxy A54 5G","Rs 79,500","8 GB"
"200 MP + 10 MP + 10 MP + 12 MP","5000 mAh","6.8 inches","Samsung Galaxy S23 Ultra","Rs 269,999","12 GB"
"12 MP + 12 MP","3700 mAh","6.7 Inches","Samsung Galaxy Z Flip 4","Rs 184,999","8GB RAM"
"50 MP + 10 MP + 12 MP","3700 mAh","6.1 inches","Samsung Galaxy S22","Rs 170,999","8 GB"
"12 MP + 12 MP + 08 MP","4500 mAh","6.4 Inches","Samsung Galaxy S21 FE","Rs 99,999","6/8 GB"
"200 MP + 50 MP + 50 MP + 10 MP","5000 mAh","6.9 Inches","Samsung Galaxy S25 Ultra (12GB-256GB)","Rs 339,999","12GB"
"50 MP + 2 MP","5000 mAh","6.7 Inches","Samsung Galaxy A06","Rs 22,499","4/6 GB"
"200 MP + 50 MP + 12 MP + 10 MP","5000 mAh","6.8 Inches","Samsung Galaxy S24 Ultra (12GB-256GB)","Rs 314,999","12 GB"
"48 MP + 8 MP + 5 MP","5000 mAh","6.6 Inches","Samsung Galaxy A34","Rs 68,199","6/8 GB"
"108 MP + 12 MP + 5 MP + 5 MP","5000 mAh","6.7 Inches","Samsung Galaxy A73","Rs 91,999","8 GB"
