"back_camera","battery","display","name","price","ram"
"50 MP + 8 MP","5200 mAh","6.78 inches","Tecno Camon 40 Pro","Rs 64,999","16 GB (8GB + 8GB EXTENDED)"
"13MP","5000 mAh","120Hz 6.75'' Dot Notch Screen","Tecno Spark Go 3","Rs 25,300","4GB (4+4 EXTENDABLE)"
"50 MP + AI","5200 mAh","6.6 inches","Tecno spark 40","Rs 37,600","6 GB"
"50MP","5200 mAh","6.78 inches","Tecno Spark 40 Pro Plus","Rs 60,400","8GB + 8GB EXTENDED RAM"
"50 MP","5200 mAh","6.78''","Tecno Spark 40 pro","Rs 50,700","8GB + 8GB EXTENDED RAM"
"13 MP","6000 mAh","6.67''","Tecno Spark 40C","Rs 29,799","4 GB/8 GB"
"13MP","5000 mAh","6.67'' Hole Screen","Tecno Spark Go 2","Rs 25,799","4GB"
"108 MP","5000 mAh","6.78 inches","Tecno SPARK 30 Pro","Rs 46,999","8GB RAM"
"108MP + 2MP","5000 mAh","6.78","Tecno Spark 20 Pro Plus","Rs 59,999","16GB (8GB + 8GB EXTENDABLE RAM)"
"50 MP + 2 MP","7000 mAh","6.78 Inches","Tecno Pova 6 Neo","Rs 45,999","16GB (8GB+ 8GB EXTENDED RAM)"
"50MP + 2MP AI Cam","5000 mAh","6.78 Inches","Tecno Camon 30","Rs 49,999","24GB RAM (12GB+12GB EXTENDED)"
