"back_camera","battery","display","name","price","ram"
"50 MP ZEISS OIS Main Camera: AF & OIS, f/1.88, FOV 84°, 6P lens","6500 mAh","6.59 inches","Vivo V70","Rs 153,999","12GB"
"50 MP","6500 mAh","6.74 Inches","Vivo Y11d","Rs 39,599","4/6 GB"
"8 MP","6500 mAh","6.74 Inches","Vivo Y05","Rs 30,999","8GB (4GB + 4GB )"
"50MP","6510 mAh","6.78 Inches","Vivo X300 Pro","Rs 314,999","16GB"
"50 MP","Wh","17.20 cm (6.77″)","VIVO V60 Lite","Rs 72,999","8 GB"
"50 MP","6500 mAh","17.20 cm (6.77″)","VIVO V60 Lite 5G","Rs 88,999","12GB"
"50 MP","6500 mAh","6.68 inches","Vivo Y21d","Rs 45,999","6GB"
"50MP","6500 mAh","17.20 cm","Vivo V60","Rs 134,999","12GB"
"50 + 2 MP","6000 mAh","6.67 Inches","Vivo Y400","Rs 62,499","8GB"
"50 MP + 50MP + 50 MP","6000 mAh","Main screen: 8.03″ (20.38 cm) Cover screen: 6.53″ (16.58 cm)","Vivo X Fold 5","Rs 419,999","16GB"
"50 MP + 8 MP + 50 MP","6500 mAh","6.31 Inches","Vivo X200 FE","Rs 194,999","12GB"
"50 MP + 2 MP","6500 mAh","6.68 inches","Vivo Y29","Rs 54,299","8GB"
"13 MP + 0.08 MP","5500 mAh","6.74 inches","Vivo Y04","Rs 32,999","4GB"
"Rear 50 MP + 8 MP","6500 mAh","6.77","Vivo V50 Lite 5G","Rs 82,999","12GB"
"50 MP + 50 MP","6000 mAh","6.77 inches","Vivo V50","Rs 124,999","12GB"
"200MP + 50MP + 50MP","6000 mAh","6.78 inches","Vivo X200 Pro","Rs 278,499","16GB + 16GB EXPANDABLE RAM (LPDDR5X RAM)"
"50 MP + 2 MP","5000 mAh","6.67 inches","Vivo Y200 4G","Rs 52,499","8 GB"
