"back_camera","battery","display","name","price","ram"
"50MP","6330 mAh","6.3","Xiaomi 17","Rs 319,999","12GB"
"50MP","6000 mAh","6.9 inches","Xiaomi 17 Ultra","Rs 479,999","16GB"
"50 MP","6000 mAh","6.9 Inch Display","Xiaomi Poco C85","Rs 42,199","8GB"
"50MP AI Dual Camera, 5P lens, f/1.8, Auxiliary lens","7000 mAh","6.9 Inch Display","Xiaomi Redmi 15","Rs 42,999","8GB"
"50 MP","6000 mAh","6.9 inches","Xiaomi Redmi 15C","Rs 31,499","4/6 GB"
"32MP","5200 mAh","6.88","Xiaomi Redmi A5","Rs 24,499","4GB/4GB"
"200MP + 50MP + 50MP + 50MP","5410 mAh","6.73 inches","Xiaomi 15 Ultra","Rs 372,999","16GB (LPDDR5X)"
"200MP+8MP+2MP","5500 mAh","6.67 Inches","Xiaomi Redmi Note 14 Pro","Rs 69,999","8/12 GB"
"108MP+2MP+2MP","5500 mAh","6.7 Inches","Xiaomi Redmi Note 14","Rs 48,999","8GB"
"50MP","5160 mAh","6.88 inches","Xiaomi Poco C75","Rs 36,999","8 GB"
"50 MP + 2 MP + 0.08 MP","5160 mAh","6.88","Xiaomi Redmi 14C","Rs 31,999","4/6 GB"
"108 MP + 2 MP","5030 mAh","6.79 Inches","Xiaomi Redmi 13","Rs 37,999","8 GB"
"108MP+8MP+2MP","5000 mAh","6.67 Inches","Xiaomi Redmi Note 13","Rs 49,999","6GB, 8GB (EXPANDABLE STORAGE UP TO 1TB)"
"50 MP + 50 MP + 50 MP","4610 mAh","6.3 Inches","Xiaomi 14","Rs 302,999","12 GB"
"50 MP + 8 MP + 2 MP","5000 mAh","6.67 inches","Xiaomi Redmi Note 12","Rs 41,999","8 GB"
"50MP","5500 mAh","6.83 inches","Xiaomi 15T","Rs 169,999","12GB"
"50 MP + 50 MP + 12 MP","5500 mAh","6.83 Inches","Xiaomi 15T Pro","Rs 234,999","12GB"
"200MP+8MP+2MP","5110 mAh","6.7 Inch","Xiaomi Redmi Note 14 Pro Plus","Rs 125,999","12 GB"
"50MP + 8MP","6000 mAh","6.67 inches","Xiaomi Poco X7 pro","Rs 137,999","12 GB"
"50 MP + 8 MP","5000 mAh","6.67 Inches","Poco F6","Rs 131,999","12 GB"
"50 MP + 8 MP + 2 MP","5000 mAh","6.67 Inches","Poco F6 Pro","Rs 169,999","12 GB"
"8 MP AI Dual Camera","5000 mAh","6.71 inches","Xiaomi Redmi A3x","Rs 19,899","3 GB"
"8MP AI Dual Camera","5000 mAh","6.71 Inches","Xiaomi Redmi A3","Rs 21,999","4 GB"
"200MP+8MP+2MP","5000 mAh","6.67","Xiaomi Redmi Note 13 Pro Plus","Rs 126,499","8GB,12GB"
"64MP+8MP+2MP triple camera","5000 mAh","6.67 Inches","Poco X6 Pro 5G","Rs 122,099","12 GB"
"64MP+8MP+2MP triple camera","5000 mAh","6.67","Poco M6 Pro","Rs 83,999","12GB"
"50 MP + 2 MP + 0.08 MP","5000 mAh","6.74 inches","Xiaomi Redmi 13C","Rs 29,499","128GB 6GB RAM , 128GB 4GB RAM"
"50 MP + 8 MP + 2 MP","5000 mAh","6.79 Inches","Xiaomi Redmi 12","Rs 33,499","8 GB"
"8 MP + 0.08 MP","5000 mAh","6.52 Inches","Xiaomi Redmi A2 Plus","Rs 19,999","3 GB"
"50 MP + 0.08 MP","5000 mAh","6.71 inches","Xiaomi Redmi 12C","Rs 22,999","4GB RAM"
